actual distance,mean distance,std distance,mean strenght,std strenght
0,0.95,1.1459310165698642,1112.85,177.2222140644188
10,7.3,0.4701623459816272,4531.15,845.071175762884
20,17.1,0.30779350562554625,4961.75,93.18056890281663
30,27.0,0.0,4741.15,155.98322278204694
40,37.0,0.0,9597.55,13177.79155874722
50,47.75,0.4442616583193185,2353.6,1041.963046117128
60,59.0,0.0,9277.4,1691.0636453521136
70,69.0,0.0,7617.65,484.6524826588309
80,79.0,0.0,7134.25,88.72125183018863
90,89.45,0.5104177855340398,4598.15,593.6882289197711
100,99.75,0.44426165831932307,10792.9,1529.3323242169236
