Position_cm,Measurement_index,Distance_cm
0,1,233
0,2,232
0,3,233
0,4,233
0,5,233
5,1,232
5,2,233
5,3,233
5,4,233
5,5,232
10,1,232
10,2,233
10,3,233
10,4,232
10,5,233
15,1,232
15,2,232
15,3,232
15,4,233
15,5,233
20,1,233
20,2,233
20,3,232
20,4,233
20,5,233
25,1,233
25,2,233
25,3,233
25,4,233
25,5,232
30,1,232
30,2,232
30,3,233
30,4,233
30,5,233
35,1,233
35,2,233
35,3,232
35,4,233
35,5,233
40,1,232
40,2,233
40,3,233
40,4,233
40,5,233
45,1,233
45,2,232
45,3,233
45,4,233
45,5,232
50,1,233
50,2,233
50,3,233
50,4,232
50,5,233
